Driver,Team,GridPosition,Position,Points,Status,Laps,Race,Year
STR,Aston Martin,19.0,15.0,0.0,Lapped,76.0,Monaco,2025
HUL,Kick Sauber,13.0,16.0,0.0,Lapped,76.0,Monaco,2025
TSU,Red Bull Racing,12.0,17.0,0.0,Lapped,76.0,Monaco,2025
ANT,Mercedes,15.0,18.0,0.0,Lapped,75.0,Monaco,2025
ALO,Aston Martin,6.0,19.0,0.0,Retired,36.0,Monaco,2025
GAS,Alpine,17.0,20.0,0.0,Retired,7.0,Monaco,2025
PIA,McLaren,1.0,1.0,25.0,Finished,66.0,Spain,2025
NOR,McLaren,2.0,2.0,18.0,Finished,66.0,Spain,2025
LEC,Ferrari,7.0,3.0,15.0,Finished,66.0,Spain,2025
RUS,Mercedes,4.0,4.0,12.0,Finished,66.0,Spain,2025
HUL,Kick Sauber,15.0,5.0,10.0,Finished,66.0,Spain,2025
HAM,Ferrari,5.0,6.0,8.0,Finished,66.0,Spain,2025
HAD,Racing Bulls,9.0,7.0,6.0,Finished,66.0,Spain,2025
GAS,Alpine,8.0,8.0,4.0,Finished,66.0,Spain,2025
ALO,Aston Martin,10.0,9.0,2.0,Finished,66.0,Spain,2025
VER,Red Bull Racing,3.0,10.0,1.0,Finished,66.0,Spain,2025
LAW,Racing Bulls,13.0,11.0,0.0,Finished,66.0,Spain,2025
BOR,Kick Sauber,12.0,12.0,0.0,Finished,66.0,Spain,2025
TSU,Red Bull Racing,19.0,13.0,0.0,Finished,66.0,Spain,2025
SAI,Williams,17.0,14.0,0.0,Finished,66.0,Spain,2025
COL,Alpine,18.0,15.0,0.0,Finished,66.0,Spain,2025
OCO,Haas F1 Team,16.0,16.0,0.0,Finished,66.0,Spain,2025
BEA,Haas F1 Team,14.0,17.0,0.0,Finished,66.0,Spain,2025
ANT,Mercedes,6.0,18.0,0.0,Retired,53.0,Spain,2025
ALB,Williams,11.0,19.0,0.0,Retired,27.0,Spain,2025
RUS,Mercedes,1.0,1.0,25.0,Finished,70.0,Canada,2025
VER,Red Bull Racing,2.0,2.0,18.0,Finished,70.0,Canada,2025
ANT,Mercedes,4.0,3.0,15.0,Finished,70.0,Canada,2025
PIA,McLaren,3.0,4.0,12.0,Finished,70.0,Canada,2025
LEC,Ferrari,8.0,5.0,10.0,Finished,70.0,Canada,2025
HAM,Ferrari,5.0,6.0,8.0,Finished,70.0,Canada,2025
ALO,Aston Martin,6.0,7.0,6.0,Finished,70.0,Canada,2025
HUL,Kick Sauber,11.0,8.0,4.0,Finished,70.0,Canada,2025
OCO,Haas F1 Team,14.0,9.0,2.0,Lapped,69.0,Canada,2025
SAI,Williams,16.0,10.0,1.0,Lapped,69.0,Canada,2025
BEA,Haas F1 Team,13.0,11.0,0.0,Lapped,69.0,Canada,2025
TSU,Red Bull Racing,18.0,12.0,0.0,Lapped,69.0,Canada,2025
COL,Alpine,10.0,13.0,0.0,Lapped,69.0,Canada,2025
BOR,Kick Sauber,15.0,14.0,0.0,Lapped,69.0,Canada,2025
