Driver,Team,GridPosition,Position,Points,Status,Laps,Race,Year
RUS,Mercedes,5.0,5.0,10.0,Finished,71.0,Mexico,2024
VER,Red Bull Racing,2.0,6.0,8.0,Finished,71.0,Mexico,2024
MAG,Haas F1 Team,7.0,7.0,6.0,Finished,71.0,Mexico,2024
PIA,McLaren,17.0,8.0,4.0,Finished,71.0,Mexico,2024
HUL,Haas F1 Team,10.0,9.0,2.0,Lapped,70.0,Mexico,2024
GAS,Alpine,8.0,10.0,1.0,Lapped,70.0,Mexico,2024
STR,Aston Martin,14.0,11.0,0.0,Lapped,70.0,Mexico,2024
COL,Williams,16.0,12.0,0.0,Lapped,70.0,Mexico,2024
OCO,Alpine,0.0,13.0,0.0,Lapped,70.0,Mexico,2024
BOT,Kick Sauber,15.0,14.0,0.0,Lapped,70.0,Mexico,2024
ZHO,Kick Sauber,19.0,15.0,0.0,Lapped,70.0,Mexico,2024
LAW,RB,12.0,16.0,0.0,Lapped,70.0,Mexico,2024
PER,Red Bull Racing,18.0,17.0,0.0,Lapped,70.0,Mexico,2024
ALO,Aston Martin,13.0,18.0,0.0,Retired,15.0,Mexico,2024
ALB,Williams,9.0,19.0,0.0,Retired,0.0,Mexico,2024
TSU,RB,11.0,20.0,0.0,Retired,0.0,Mexico,2024
VER,Red Bull Racing,17.0,1.0,26.0,Finished,69.0,Brazil,2024
OCO,Alpine,4.0,2.0,18.0,Finished,69.0,Brazil,2024
GAS,Alpine,13.0,3.0,15.0,Finished,69.0,Brazil,2024
RUS,Mercedes,2.0,4.0,12.0,Finished,69.0,Brazil,2024
LEC,Ferrari,6.0,5.0,10.0,Finished,69.0,Brazil,2024
NOR,McLaren,1.0,6.0,8.0,Finished,69.0,Brazil,2024
TSU,RB,3.0,7.0,6.0,Finished,69.0,Brazil,2024
PIA,McLaren,8.0,8.0,4.0,Finished,69.0,Brazil,2024
LAW,RB,5.0,9.0,2.0,Finished,69.0,Brazil,2024
HAM,Mercedes,14.0,10.0,1.0,Finished,69.0,Brazil,2024
PER,Red Bull Racing,12.0,11.0,0.0,Finished,69.0,Brazil,2024
BEA,Haas F1 Team,15.0,12.0,0.0,Finished,69.0,Brazil,2024
BOT,Kick Sauber,11.0,13.0,0.0,Finished,69.0,Brazil,2024
ALO,Aston Martin,9.0,14.0,0.0,Finished,69.0,Brazil,2024
ZHO,Kick Sauber,19.0,15.0,0.0,Finished,69.0,Brazil,2024
SAI,Ferrari,20.0,16.0,0.0,Retired,38.0,Brazil,2024
COL,Williams,16.0,17.0,0.0,Retired,30.0,Brazil,2024
ALB,Williams,7.0,18.0,0.0,Did not start,0.0,Brazil,2024
STR,Aston Martin,10.0,19.0,0.0,Did not start,0.0,Brazil,2024
HUL,Haas F1 Team,18.0,20.0,0.0,Disqualified,0.0,Brazil,2024
RUS,Mercedes,1.0,1.0,25.0,Finished,50.0,Las Vegas,2024
HAM,Mercedes,10.0,2.0,18.0,Finished,50.0,Las Vegas,2024
SAI,Ferrari,2.0,3.0,15.0,Finished,50.0,Las Vegas,2024
LEC,Ferrari,4.0,4.0,12.0,Finished,50.0,Las Vegas,2024
VER,Red Bull Racing,5.0,5.0,10.0,Finished,50.0,Las Vegas,2024
NOR,McLaren,6.0,6.0,9.0,Finished,50.0,Las Vegas,2024
PIA,McLaren,8.0,7.0,6.0,Finished,50.0,Las Vegas,2024
HUL,Haas F1 Team,9.0,8.0,4.0,Finished,50.0,Las Vegas,2024
TSU,RB,7.0,9.0,2.0,Finished,50.0,Las Vegas,2024
PER,Red Bull Racing,15.0,10.0,1.0,Finished,50.0,Las Vegas,2024
ALO,Aston Martin,16.0,11.0,0.0,Finished,50.0,Las Vegas,2024
MAG,Haas F1 Team,12.0,12.0,0.0,Finished,50.0,Las Vegas,2024
ZHO,Kick Sauber,13.0,13.0,0.0,Finished,50.0,Las Vegas,2024
COL,Williams,20.0,14.0,0.0,Finished,50.0,Las Vegas,2024
STR,Aston Martin,18.0,15.0,0.0,Finished,50.0,Las Vegas,2024
LAW,RB,14.0,16.0,0.0,Finished,50.0,Las Vegas,2024
OCO,Alpine,11.0,17.0,0.0,Lapped,49.0,Las Vegas,2024
BOT,Kick Sauber,19.0,18.0,0.0,Lapped,49.0,Las Vegas,2024
ALB,Williams,17.0,19.0,0.0,Retired,25.0,Las Vegas,2024
GAS,Alpine,3.0,20.0,0.0,Retired,15.0,Las Vegas,2024
NOR,McLaren,1.0,1.0,25.0,Finished,58.0,Abu Dhabi,2024
SAI,Ferrari,3.0,2.0,18.0,Finished,58.0,Abu Dhabi,2024
LEC,Ferrari,19.0,3.0,15.0,Finished,58.0,Abu Dhabi,2024
HAM,Mercedes,16.0,4.0,12.0,Finished,58.0,Abu Dhabi,2024
RUS,Mercedes,6.0,5.0,10.0,Finished,58.0,Abu Dhabi,2024
VER,Red Bull Racing,4.0,6.0,8.0,Finished,58.0,Abu Dhabi,2024
GAS,Alpine,5.0,7.0,6.0,Finished,58.0,Abu Dhabi,2024
HUL,Haas F1 Team,7.0,8.0,4.0,Finished,58.0,Abu Dhabi,2024
ALO,Aston Martin,8.0,9.0,2.0,Finished,58.0,Abu Dhabi,2024
PIA,McLaren,2.0,10.0,1.0,Finished,58.0,Abu Dhabi,2024
ALB,Williams,18.0,11.0,0.0,Lapped,57.0,Abu Dhabi,2024
TSU,RB,11.0,12.0,0.0,Lapped,57.0,Abu Dhabi,2024
ZHO,Kick Sauber,15.0,13.0,0.0,Lapped,57.0,Abu Dhabi,2024
STR,Aston Martin,13.0,14.0,0.0,Lapped,57.0,Abu Dhabi,2024
DOO,Alpine,17.0,15.0,0.0,Lapped,57.0,Abu Dhabi,2024
MAG,Haas F1 Team,14.0,16.0,0.0,Lapped,57.0,Abu Dhabi,2024
LAW,RB,12.0,17.0,0.0,Finished,55.0,Abu Dhabi,2024
BOT,Kick Sauber,9.0,18.0,0.0,Retired,30.0,Abu Dhabi,2024
COL,Williams,20.0,19.0,0.0,Retired,26.0,Abu Dhabi,2024
PER,Red Bull Racing,10.0,20.0,0.0,Retired,0.0,Abu Dhabi,2024
